BRAND,Total_Sales,Total_Qty,Transactions
Kettle,390239.8,79051,41288
Smiths,202908.6,51973,27390
Doritos,187277.90000000002,42222,22041
Pringles,177655.5,48019,25102
Thins,88852.5,26929,14075
Twisties,81522.09999999999,18118,9454
Tostitos,79789.6,18134,9471
Infuzions,76247.59999999999,21119,11057
Cobs,70569.8,18571,9693
RRD,64954.5,22500,11894
Tyrrells,51647.4,12298,6442
Grain,43048.8,11962,6272
Cheezels,40029.9,8747,4603
Dorito,39052.0,6109,3183
WW,35889.5,19461,10320
Natural,34272.0,11424,6050
Infzns,22800.0,6000,3144
Red,22653.0,8391,4427
CCs,18078.9,8609,4551
Cheetos,16884.5,5530,2927
Smith,14583.4,5609,2963
GrnWves,8568.4,2764,1468
NCC,8046.0,2682,1419
French,7929.0,2643,1418
Burger,6830.999999999999,2970,1564
Woolworths,5169.6,2872,1516
Snbts,5076.2,2986,1576
Sunbites,4600.2,2706,1432
