PACK_SIZE,Transactions,Total_Sales,Quantity
70,1507,6852.0,2855
90,3008,9676.4,5692
110,22387,162765.4,42835
125,1454,5733.0,2730
134,25102,177655.5,48019
135,3257,26090.4,6212
150,40203,289681.8,76662
160,2970,10647.6,5604
165,15297,101360.6,29051
170,19983,146673.0,38088
175,66390,485437.4,126467
180,1468,8568.4,2764
190,2995,14412.9,5673
200,4473,16007.5,8425
210,6272,43048.8,11962
220,1564,6830.999999999999,2970
250,3169,26096.7,6069
270,6285,55425.399999999994,12049
330,12540,136794.30000000002,23999
380,6416,75419.6,12273
