BRAND,Transactions,Sales
Kettle,3844,35423.6
Pringles,2315,16006.2
Doritos,2076,17266.4
Smiths,1790,14337.5
Thins,1166,7217.099999999999
Infuzions,962,6693.599999999999
Twisties,900,7539.799999999999
Tostitos,890,7238.000000000001
Cobs,864,6144.599999999999
RRD,639,3357.0
Tyrrells,619,4800.6
Grain,576,3798.0
WW,423,1420.3999999999999
Cheezels,346,3318.3
Natural,321,1734.0
Dorito,303,3659.5
Infzns,288,2055.7999999999997
Red,236,1152.9
CCs,222,850.5
Cheetos,166,898.8
Smith,131,621.4
French,78,429.0
NCC,73,396.0
Snbts,71,214.2
GrnWves,70,403.0
Burger,62,243.79999999999998
Sunbites,57,176.79999999999998
Woolworths,56,185.4
